0;CLK;0;0;1
0;ID;0;2;5
1;C;A;1;8
2;C;A;1;9
3;C;A;1;10
4;C;A;1;11
5;C;A;1;12
6;C;A;1;13
7;C;A;1;14
8;C;A;1;15
9;C;A;1;16
10;C;A;1;17
11;C;A;1;18
12;C;A;1;19
13;C;A;1;20
14;C;A;1;21
15;C;A;1;22
16;C;A;8;8
17;C;A;8;9
18;C;A;8;10
19;C;A;8;11
20;C;A;8;12
21;C;A;8;13
22;C;A;8;14
23;C;A;8;15
24;C;A;8;16
25;C;A;8;17
26;C;A;8;18
27;C;A;8;19
28;C;A;8;20
29;C;A;8;21
30;C;A;8;22
31;C;A;15;8
32;C;A;15;9
33;C;A;15;10
34;C;A;15;11
35;C;A;15;12
36;C;A;15;13
37;C;A;15;14
38;C;A;15;15
39;C;A;15;16
40;C;A;15;17
41;C;A;15;18
42;C;A;15;19
43;C;A;15;20
44;C;A;15;21
45;C;A;15;22
46;C;A;22;8
47;C;A;22;9
48;C;A;22;10
49;C;A;22;11
50;C;A;22;12
51;C;A;22;13
52;C;A;22;14
53;C;A;22;15
54;C;A;22;16
55;C;A;22;17
56;C;A;22;18
57;C;A;22;19
58;C;A;22;20
59;C;A;22;21
60;C;A;22;22
61;C;A;29;8
62;C;A;29;9
63;C;A;29;10
64;C;A;29;11
65;C;A;29;12
66;C;A;29;13
67;C;A;29;14
68;C;A;29;15
69;C;A;29;16
70;C;A;29;17
71;C;A;29;18
72;C;A;29;19
73;C;A;29;20
74;C;A;29;21
75;C;A;29;22
76;C;A;36;8
77;C;A;36;9
78;C;A;36;10
79;C;A;36;11
80;C;A;36;12
81;C;A;36;13
82;C;A;36;14
83;C;A;36;15
84;C;A;36;16
85;C;A;36;17
86;C;A;36;18
87;C;A;36;19
88;C;A;36;20
89;C;A;36;21
90;C;A;36;22
91;A;A;2;3
92;A;A;12;3
